name,date,lang,dur,genre,direc,act,c_rate,u_rate,desc,poster
The Other Guys,"22 Oct, 2010",[],Comedy,,Adam McKay,,3.0,2.3,"Light and breezy, The Other Guys is your cop house comedy which runs through a familiar track where fifteen minutes of fame do come, but only when our common man types have been tried and tested.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Letters to Juliet,"22 Oct, 2010",[],Romance,,Amanda SeyfriedActor,"['Vanessa Redgrave', 'Christopher Egan', 'Gael Garcia Bernal']",3.5,3.4,"Set against the breathtaking scenery of the Tuscan backdrop, Letters to Juliet is a love story that makes you want to believe in the legend of Romeo and Juliet.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
The Switch,"15 Oct, 2010",[],Drama,,Jennifer AnistonActor,"['Jason Bateman', 'Patrick Wilson', 'Jeff Goldblum']",3.0,2.4,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Eat Pray Love,"08 Oct, 2010",[],Drama,,Ryan Murphy,"['Julia Roberts', 'Javier Bardem', 'Billy Crudup']",3.0,2.4,"The film manages to carry you through its cross-country journey, peppered with scenic locales and attention-grabbing characters, the credit for which goes to Julia Roberts.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
The Town,"08 Oct, 2010",[],Crime,,"Ben Affleck, Actor","['Rebecca Hall', 'Jeremy Renner', 'Jon Hamm']",4.0,3.7,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
The American,"01 Oct, 2010",[],Thriller,,Anton Corbijn,"['George Clooney', 'Violante Placido', 'Thekla Reuten']",3.5,3.6,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Going the Distance,"01 Oct, 2010",[],Romance,,Drew BarrymoreActor,,2.0,1.7,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Beauty And the Beast,"24 Sep, 2010",[],Animation,,Robby BensonActor,,3.0,3.2,"There's the sublime beauty of a forgotten world and the promise of happily-ever-after to draw you to one of your favourite fairy tales, once again. Give it an encore.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Wall Street: Money Never Sleeps,"24 Sep, 2010",[],Drama,,Oliver Stone,"['Michael Douglas', 'Shia LaBeouf', 'Josh Brolin']",3.5,3.9,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
A Distant Mirage,"17 Sep, 2010",[],Drama,,Joel FryActor,,2.0,1.8,"Sadly, there isn't enough -- neither story, nor performances -- to sustain a decent run for A Distant Mirage. Too much has already been said on the issue.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
